invoice_id,Branch,City,category, unit_price ,quantity,date,time,payment_method,rating,profit_margin, Revenue , Profit 
1,WALM003,San Antonio,Health and beauty,$74.69 ,7,5/1/2019,1:08:00 PM,Ewallet,9.1,0.48,$522.83 ,$250.96 
2,WALM048,Harlingen,Electronic accessories,$15.28 ,5,8/3/2019,10:29:00 AM,Cash,9.6,0.48,$76.40 ,$36.67 
3,WALM067,Haltom City,Home and lifestyle,$46.33 ,7,3/3/2019,1:23:00 PM,Credit card,7.4,0.33,$324.31 ,$107.02 
4,WALM064,Bedford,Health and beauty,$58.22 ,8,27/01/19,8:33:00 PM,Ewallet,8.4,0.33,$465.76 ,$153.70 
5,WALM013,Irving,Sports and travel,$86.31 ,7,8/2/2019,10:37:00 AM,Ewallet,5.3,0.48,$604.17 ,$290.00 
6,WALM026,Denton,Electronic accessories,$85.39 ,7,25/03/19,6:30:00 PM,Ewallet,4.1,0.48,$597.73 ,$286.91 
7,WALM088,Cleburne,Electronic accessories,$68.84 ,6,25/02/19,2:36:00 PM,Ewallet,5.8,0.33,$413.04 ,$136.30 
8,WALM100,Canyon,Home and lifestyle,$73.56 ,10,24/02/19,11:38:00 AM,Ewallet,8,0.18,$735.60 ,$132.41 
9,WALM066,Grapevine,Health and beauty,$36.26 ,2,10/1/2019,5:15:00 PM,Credit card,7.2,0.33,$72.52 ,$23.93 
10,WALM065,Texas City,Food and beverages,$54.84 ,3,20/02/19,1:27:00 PM,Credit card,5.9,0.33,$164.52 ,$54.29 
11,WALM013,Irving,Fashion accessories,$14.48 ,4,6/2/2019,6:07:00 PM,Ewallet,4.5,0.48,$57.92 ,$27.80 
12,WALM035,San Angelo,Electronic accessories,$25.51 ,4,9/3/2019,5:03:00 PM,Cash,6.8,0.48,$102.04 ,$48.98 
13,WALM027,Abilene,Electronic accessories,$46.95 ,5,12/2/2019,10:25:00 AM,Ewallet,7.1,0.48,$234.75 ,$112.68 
14,WALM035,San Angelo,Food and beverages,$43.19 ,10,7/2/2019,4:48:00 PM,Ewallet,8.2,0.48,$431.90 ,$207.31 
15,WALM031,Lewisville,Health and beauty,$71.38 ,10,29/03/19,7:21:00 PM,Cash,5.7,0.48,$713.80 ,$342.62 
16,WALM008,Corpus Christi,Sports and travel,$93.72 ,6,15/01/19,4:19:00 PM,Cash,4.5,0.48,$562.32 ,$269.91 
17,WALM029,Round Rock,Health and beauty,$68.93 ,7,11/3/2019,11:03:00 AM,Credit card,4.6,0.48,$482.51 ,$231.60 
18,WALM061,Cedar Park,Sports and travel,$72.61 ,6,1/1/2019,10:39:00 AM,Credit card,6.9,0.33,$435.66 ,$143.77 
19,WALM053,Conroe,Food and beverages,$54.67 ,3,21/01/19,6:00:00 PM,Credit card,8.6,0.57,$164.01 ,$93.49 
20,WALM013,Irving,Home and lifestyle,$40.30 ,2,11/3/2019,3:30:00 PM,Ewallet,4.4,0.48,$80.60 ,$38.69 
21,WALM044,Pharr,Electronic accessories,$86.04 ,5,25/02/19,11:24:00 AM,Ewallet,4.8,0.48,$430.20 ,$206.50 
22,WALM088,Cleburne,Health and beauty,$87.98 ,3,5/3/2019,10:40:00 AM,Ewallet,5.1,0.33,$263.94 ,$87.10 
23,WALM083,Farmers Branch,Home and lifestyle,$33.20 ,2,15/03/19,12:20:00 PM,Credit card,4.4,0.33,$66.40 ,$21.91 
24,WALM067,Haltom City,Electronic accessories,$34.56 ,5,17/02/19,11:15:00 AM,Ewallet,9.9,0.33,$172.80 ,$57.02 
25,WALM023,Midland,Sports and travel,$88.63 ,3,2/3/2019,5:36:00 PM,Ewallet,6,0.48,$265.89 ,$127.63 
26,WALM001,Houston,Home and lifestyle,$52.59 ,8,22/03/19,7:20:00 PM,Credit card,8.5,0.36,$420.72 ,$151.46 
27,WALM072,Lancaster,Fashion accessories,$33.52 ,1,8/2/2019,3:31:00 PM,Cash,6.7,0.33,$33.52 ,$11.06 
28,WALM046,Temple,Fashion accessories,$87.67 ,2,10/3/2019,12:17:00 PM,Credit card,7.7,0.48,$175.34 ,$84.16 
29,WALM012,Garland,Food and beverages,$88.36 ,5,25/01/19,7:48:00 PM,Cash,9.6,0.48,$441.80 ,$212.06 
30,WALM075,San Marcos,Health and beauty,$24.89 ,9,15/03/19,3:36:00 PM,Cash,7.4,0.33,$224.01 ,$73.92 
31,WALM076,Huntsville,Fashion accessories,$94.13 ,5,25/02/19,7:39:00 PM,Credit card,4.8,0.33,$470.65 ,$155.31 
32,WALM098,Mineral Wells,Sports and travel,$78.07 ,9,28/01/19,12:43:00 PM,Cash,4.5,0.18,$702.63 ,$126.47 
33,WALM021,McAllen,Sports and travel,$83.78 ,8,10/1/2019,2:49:00 PM,Cash,5.1,0.48,$670.24 ,$321.72 
34,WALM096,Eagle Pass,Health and beauty,$96.58 ,2,15/03/19,10:12:00 AM,Credit card,5.1,0.18,$193.16 ,$34.77 
35,WALM022,Mesquite,Food and beverages,$99.42 ,4,6/2/2019,10:42:00 AM,Ewallet,7.5,0.48,$397.68 ,$190.89 
36,WALM095,Big Spring,Sports and travel,$68.12 ,1,7/1/2019,12:28:00 PM,Ewallet,6.8,0.33,$68.12 ,$22.48 
37,WALM041,Mission,Sports and travel,$62.62 ,5,10/3/2019,7:15:00 PM,Ewallet,7,0.48,$313.10 ,$150.29 
38,WALM070,Hurst,Electronic accessories,$60.88 ,9,15/01/19,5:17:00 PM,Ewallet,4.7,0.33,$547.92 ,$180.81 
39,WALM070,Hurst,Health and beauty,$54.92 ,8,23/03/19,1:24:00 PM,Ewallet,7.6,0.33,$439.36 ,$144.99 
40,WALM030,Richardson,Home and lifestyle,$30.12 ,8,3/3/2019,1:01:00 PM,Cash,7.7,0.48,$240.96 ,$115.66 
41,WALM033,Pearland,Home and lifestyle,$86.72 ,1,17/01/19,6:45:00 PM,Ewallet,7.9,0.48,$86.72 ,$41.63 
42,WALM088,Cleburne,Home and lifestyle,$56.11 ,2,2/2/2019,10:11:00 AM,Cash,6.3,0.33,$112.22 ,$37.03 
43,WALM079,La Porte,Sports and travel,$69.12 ,6,8/2/2019,1:03:00 PM,Cash,5.6,0.33,$414.72 ,$136.86 
44,WALM042,Bryan,Food and beverages,$98.70 ,8,4/3/2019,8:39:00 PM,Cash,7.6,0.48,$789.60 ,$379.01 
45,WALM036,Allen,Health and beauty,$15.37 ,2,16/03/19,7:47:00 PM,Cash,7.2,0.48,$30.74 ,$14.76 
46,WALM056,Rowlett,Electronic accessories,$93.96 ,4,9/3/2019,6:00:00 PM,Cash,9.5,0.33,$375.84 ,$124.03 
47,WALM058,Port Arthur,Health and beauty,$56.69 ,9,27/02/19,5:24:00 PM,Credit card,8.4,0.33,$510.21 ,$168.37 
48,WALM015,Grand Prairie,Food and beverages,$20.01 ,9,6/2/2019,3:47:00 PM,Ewallet,4.1,0.48,$180.09 ,$86.44 
49,WALM063,Georgetown,Electronic accessories,$18.93 ,6,10/2/2019,12:45:00 PM,Credit card,8.1,0.33,$113.58 ,$37.48 
50,WALM021,McAllen,Fashion accessories,$82.63 ,10,19/03/19,5:08:00 PM,Ewallet,7.9,0.48,$826.30 ,$396.62 
51,WALM089,Southlake,Food and beverages,$91.40 ,7,3/2/2019,10:19:00 AM,Cash,9.5,0.33,$639.80 ,$211.13 
52,WALM093,Angleton,Food and beverages,$44.59 ,5,10/2/2019,3:10:00 PM,Cash,8.5,0.33,$222.95 ,$73.57 
53,WALM041,Mission,Fashion accessories,$17.87 ,4,22/03/19,2:42:00 PM,Ewallet,6.5,0.48,$71.48 ,$34.31 
